class,Theta_1,Alpha_1,LowBeta_1,HighBeta_1,Gamma_1,Theta_2,Alpha_2,LowBeta_2,HighBeta_2,Gamma_2,Theta_3,Alpha_3,LowBeta_3,HighBeta_3,Gamma_3,Theta_4,Alpha_4,LowBeta_4,HighBeta_4,Gamma_4,Theta_5,Alpha_5,LowBeta_5,HighBeta_5,Gamma_5,Theta_6,Alpha_6,LowBeta_6,HighBeta_6,Gamma_6,Theta_7,Alpha_7,LowBeta_7,HighBeta_7,Gamma_7,Theta_8,Alpha_8,LowBeta_8,HighBeta_8,Gamma_8,Theta_9,Alpha_9,LowBeta_9,HighBeta_9,Gamma_9,Theta_10,Alpha_10,LowBeta_10,HighBeta_10,Gamma_10,Theta_11,Alpha_11,LowBeta_11,HighBeta_11,Gamma_11,Theta_12,Alpha_12,LowBeta_12,HighBeta_12,Gamma_12,Theta_13,Alpha_13,LowBeta_13,HighBeta_13,Gamma_13,Theta_14,Alpha_14,LowBeta_14,HighBeta_14,Gamma_14,Theta_15,Alpha_15,LowBeta_15,HighBeta_15,Gamma_15,Theta_16,Alpha_16,LowBeta_16,HighBeta_16,Gamma_16,Theta_17,Alpha_17,LowBeta_17,HighBeta_17,Gamma_17,Theta_18,Alpha_18,LowBeta_18,HighBeta_18,Gamma_18,Theta_19,Alpha_19,LowBeta_19,HighBeta_19,Gamma_19,Theta_20,Alpha_20,LowBeta_20,HighBeta_20,Gamma_20,Theta_21,Alpha_21,LowBeta_21,HighBeta_21,Gamma_21,Theta_22,Alpha_22,LowBeta_22,HighBeta_22,Gamma_22,Theta_23,Alpha_23,LowBeta_23,HighBeta_23,Gamma_23,Theta_24,Alpha_24,LowBeta_24,HighBeta_24,Gamma_24,Theta_25,Alpha_25,LowBeta_25,HighBeta_25,Gamma_25,Theta_26,Alpha_26,LowBeta_26,HighBeta_26,Gamma_26,Theta_27,Alpha_27,LowBeta_27,HighBeta_27,Gamma_27,Theta_28,Alpha_28,LowBeta_28,HighBeta_28,Gamma_28,Theta_29,Alpha_29,LowBeta_29,HighBeta_29,Gamma_29,Theta_30,Alpha_30,LowBeta_30,HighBeta_30,Gamma_30,Theta_31,Alpha_31,LowBeta_31,HighBeta_31,Gamma_31,Theta_32,Alpha_32,LowBeta_32,HighBeta_32,Gamma_32,Theta_33,Alpha_33,LowBeta_33,HighBeta_33,Gamma_33,Theta_34,Alpha_34,LowBeta_34,HighBeta_34,Gamma_34,Theta_35,Alpha_35,LowBeta_35,HighBeta_35,Gamma_35,Theta_36,Alpha_36,LowBeta_36,HighBeta_36,Gamma_36,Theta_37,Alpha_37,LowBeta_37,HighBeta_37,Gamma_37,Theta_38,Alpha_38,LowBeta_38,HighBeta_38,Gamma_38,Theta_39,Alpha_39,LowBeta_39,HighBeta_39,Gamma_39,Theta_40,Alpha_40,LowBeta_40,HighBeta_40,Gamma_40
-1,817.03,563.78,397.22,258.15,224.06,988.47,596.72,422.46,223.25,182.02,1047.2,645.72,441.79,230.21,179.58,897.65,628.68,371.88,210.6,164.11,717.43,531.64,283.43,180.1,133.53,781.56,470.81,319.3,183.25,127.73,618.07,502.23,274.61,187.95,146.32,985.18,722.98,476.27,342.25,360.12,633.83,589.04,309.46,215.22,191.86,447.52,419.81,237.9,156.75,93.332,1041.5,706.26,359.05,218.43,187.06,942.2,771.68,409.47,306.68,304.8,774.86,780.01,327.43,185.66,141.87,839.56,704.99,338.49,221.87,192.8,898.32,683.4,309.27,175.64,146.05,557.42,556.09,246.99,142.62,90.929,1218.7,670.98,423.16,275.36,237.03,1132.6,585.34,367.44,232.97,203.86,1374.3,635.85,390.41,177.63,118.03,1308.9,690.02,427.43,244.7,191.78,736.43,622.31,446.23,311.74,276.73,598.58,525.53,346.81,237.22,188.55,1147.2,580.84,354.46,175.71,125.76,582.73,376.3,278.99,184.12,95.674,631.95,551.31,308.74,186.05,136.14,966.48,657.91,391,246.84,226.49,573.8,561.81,276.62,187.36,147.04,461.62,453.29,252.44,152.47,89.344,1141.2,729.08,371.71,250.25,213.43,765.59,656.08,354.18,296.73,280.14,1060,778.12,333.76,199.11,162.61,960.92,753.34,308.45,173.75,136.62,1378.8,683.6,356.96,263.68,204.05,1404.5,574.12,383.31,324.15,301.85,695.88,389.6,258.67,193.71,165.77,1868.5,1305.4,864.55,434.74,266.15,1.05E+05,53273,31340,23532,18799,56377,37597,24490,20207,16227,1.14E+05,35829,20779,15634,12426,0.62201,0.31449,0.18522,0.13903,0.11113
1,701.38,608.35,343.34,200.3,145.79,789.94,660.61,379.68,202.84,132.01,800.26,671.68,406.69,215.59,145.01,784.23,624.53,340.85,201.77,156.67,575.99,513.38,259.98,163.43,131.31,611.08,495.73,305.54,172.18,119.28,578.61,525.74,284.24,182.26,135.86,825.94,740.78,462.33,367.08,349.69,574.62,658.44,277.9,180.83,127.43,461.51,483.3,242.85,149.22,90.719,814.8,828.88,340.31,206.23,166.7,761.31,816.99,318.75,207.87,154.69,693.88,937.57,310.7,172.8,119.92,769.77,817.47,301.02,182.86,139.79,808.77,774.16,310.11,194.77,149.88,515.56,617.31,250.99,139.79,94.918,894.55,678.12,358.43,218.28,155.5,825.41,626.76,335.01,201.96,167.69,1014.4,723.34,367.55,186.16,113.68,1018.7,764.67,384.24,215.15,148.76,664.95,620,374.39,224.76,148.03,558.55,553.88,312.49,184.28,118.54,904.99,663.64,348.31,189.01,120.76,511.86,394.58,271.59,188.46,95.185,561.03,565.65,296.56,191.99,120.56,808.26,673.65,397.39,249.6,230.5,495.28,555.71,263.17,168.72,110.89,473.9,477.76,225.99,149.93,87.594,882.64,775.72,363.94,239.35,188.35,601.52,619.99,280.61,181.49,140.7,874.39,873.15,346.85,211.03,163.14,850.37,842.56,334.06,215.45,176.17,1321.4,708.29,381.87,293.24,226.76,1090.7,575.2,357.75,282.84,284.14,595.44,343.42,231.51,186.86,157.36,1869.7,1294.5,858.14,452.46,296.77,1.12E+05,56644,33322,24997,19924,53665,34833,24832,20383,17385,1.06E+05,16415,8763.7,6631.8,5230.7,0.22851,0.11745,0.068422,0.053155,0.042898
1,641.1,546.68,366.49,206.14,152.28,716.5,549.13,381.72,209.34,139.02,751.77,548.35,407.19,227.99,149.03,774.41,566.88,360.47,221.41,186.03,585.18,440.74,270.11,177.4,145.11,551.54,411.46,312.44,178.63,123.59,593.34,475.26,273.37,185.55,144.87,897.39,658.29,457.98,373.81,381.13,563.04,538.5,305.09,203.84,173.81,449.37,417.06,241.29,151.67,91.479,808.26,660.25,340.53,219.59,180.61,693.11,702.53,399.7,301.63,288.91,623.4,714.6,333.26,195.69,153.72,682.77,691.4,348.47,235.13,203.49,702.76,651.6,317.34,199.09,156.01,441.8,476.66,253.69,145.12,91.195,851.64,617.56,386.72,228.18,164.79,742.19,546.16,355.84,227.4,188.78,783.69,530.65,367.13,182.73,114.65,857.54,592.82,407.03,223.46,158.45,703.34,553.09,387.31,227.23,157.35,579.55,475.84,313.57,191.98,127.19,732.55,476.1,351.51,177.27,124.22,464.86,339.43,283.41,187.41,94.594,591.24,490.77,291.96,187.04,129.56,778.06,576.83,365.31,253.31,227.37,438.71,496.24,290.48,180.13,136.52,432.48,408.1,248.26,147.52,88.444,940.14,682.9,372.12,253.1,208.06,590.1,614.72,369.65,293.13,262.14,851.94,745.24,337.78,212.3,162.76,751.78,758.87,321.14,192,150.2,1431.8,762.86,495.74,460.41,491.34,1327.9,635,393.05,329.85,308.81,439.56,294.44,215.1,189.78,181.69,2322.6,1467,961.96,512.44,312.7,5646.7,2848.3,1704.3,1400.5,1883.2,39318,25650,20478,17229,15719,1.42E+05,58128,34100,25615,20361,0.16818,0.087672,0.052386,0.04082,0.033572
1,612.99,525.68,333.79,201.67,135.38,661.56,538.52,370.18,199.02,127.74,696.7,541.05,404,208.14,143.46,727.12,550.2,330.31,198.27,146.1,531.41,434.19,249.22,168.74,126.98,528.58,421.32,308.28,185.72,126.8,540.68,493.95,278.92,184,138.13,756.76,643.14,421.6,374.91,339.97,539.6,562.62,271.91,168.93,127.92,404.89,465.7,238.48,150.99,85.779,663.2,702.57,340.92,210.98,172.41,636.86,678.03,300.14,173.71,127.58,623.27,807.35,299.33,173.78,122.28,679.02,720.23,308.03,176.39,132.15,671.38,674.67,301.32,168.4,118.78,448.16,545.59,234.11,144.21,87.923,724.9,602.27,349.34,218.17,151.45,737.56,567.06,330.83,218.83,179.82,782.55,577.7,354.07,180.07,110.94,795.45,644.38,378.09,218.48,153.01,623.04,582.95,351.09,222.81,134.68,536.36,524.88,302.95,181.97,114.54,751.72,557.37,328.63,186.85,118.52,478.92,382.88,273.83,194.78,95.43,509.6,548.18,301.4,183.77,128.69,753.02,594.67,371.62,234.57,218.74,448.46,518.73,262.64,141.69,99.229,419.98,435.19,226.45,152.17,82.569,765.07,678.21,376.63,253.94,207.82,544.17,577.2,266.04,164.36,124.4,731.6,762.34,338.83,205.38,156.84,707.89,765.53,319.8,174.78,130.08,1099.3,577.44,346.19,252.94,212.79,854.55,439.31,362.69,322.65,304.41,491.58,328.93,225.19,179.43,148.83,2010.7,1362,905.9,473.64,278.16,53159,26841,15800,11874,9497.3,54350,35844,25563,19870,16905,1.17E+05,10962,4866.1,3657.9,2932.1,0.25861,0.1303,0.077884,0.060088,0.047002
1,647.4,477.27,344.38,195.87,143.31,736.5,519.05,380.44,200.7,126.85,791.91,542.28,407.76,208.12,129.07,818.51,554.15,350.75,228.28,188.74,619.47,400.52,261.12,158.19,117.63,586.84,409.91,304.21,156.16,105.01,629.12,432.06,281.61,161.66,116.33,920.14,612.98,449.95,316.15,330.41,549.97,509.73,277.84,162.25,120.01,451.19,385.4,235,139.83,91.824,925.59,661.11,333.48,187.76,138.04,701.45,657.69,319.1,189.68,152.63,658.15,690.25,308.76,175.73,122.41,682.33,622.08,313.26,184.56,144.85,668.02,559.73,288.08,165.21,121.7,479.09,436.18,242.94,137.87,94.636,895.87,553.49,363.37,209.56,152.1,781.48,504.72,323.56,185.9,141.95,762.29,504.9,350.66,175.14,104.15,885.39,555.16,376.82,193.66,125.63,711.35,490.32,372.12,224.87,159.6,571.15,435.15,308.21,172.32,116.76,729.02,484.43,336.95,177.91,112.72,499.24,344.91,292.62,179.83,97.374,595.11,450.71,289.22,177.44,107.18,822.23,565.54,399.84,238.5,222.3,410.16,447.72,270.99,160.35,113.84,421.18,371.05,239.52,152,88.993,979.75,646.51,360.8,207,158.96,504.55,498.63,276.53,182.05,154.63,848.9,661.76,334.3,184.02,132.16,721.56,636.39,302.9,167.8,117.61,1560.7,767.79,423.58,302.03,252.29,1353.1,613.31,329.89,221.91,197.89,691.02,427,295.96,235.72,193.93,2651.9,1553.2,997.09,564.62,393.77,87713,44297,26088,19597,15558,66083,45596,28434,24635,19853,1.87E+05,44765,25890,19449,15440,0.076625,0.040861,0.029198,0.024624,0.021955
1,661.49,568.43,380.21,203.03,147.43,839.97,604.71,417.41,200.87,127.32,919.77,625.83,443.4,210.5,140.67,873.88,640.87,433.26,279.13,271.89,739.86,473.57,282.86,159.45,128.31,720.14,449.01,339.68,156,120.39,759.31,499.66,286.96,160.5,122.64,1189.3,698.59,414.06,310.02,282.22,644.52,627.76,285.88,163.66,123.16,448.92,475.34,259.98,147.53,90.085,1161.7,821.4,345.55,187.64,152.46,750.76,796.99,332.45,202.76,169.04,706.41,888.95,326.67,173.18,132.32,761.56,772.03,328.99,187.09,155.44,727.67,692.8,317,180.2,141.83,484.33,552.7,263.79,141.35,90.172,1127,638.18,409.71,221.53,157,894.37,612.84,366.6,201.73,158.45,773.69,574.9,396.87,173.49,114.4,1057.6,669.09,422.12,214.36,142.37,835.47,635.08,427.44,226.89,165.71,620.99,558.96,333.18,179.8,116.94,769.57,556.55,372.65,174.45,113.25,498.76,368.38,326.54,179.14,93.032,728.48,556.85,310.09,181.92,116.58,1015.4,645.95,348.61,196.83,157.25,456.93,514.64,278.83,153.56,109.96,442.09,442.58,248.69,152.08,85.269,1383.5,745.5,386.39,212.19,176.46,563.77,593.69,310.72,175.52,167.43,1118.4,797.49,363.14,194.45,149.38,821.54,781.54,343.85,193.75,153.86,1658.4,692.21,369.87,256.22,214.87,2201.2,703.86,384.63,262.31,257.22,414.69,271.7,199.62,160.47,135.06,1928.8,1417.9,914.39,445.18,217.58,15641,7820.8,4632.4,3574.6,3778,1.18E+05,81700,53172,42572,36363,85150,15388,8158.1,6118.2,4871.9,0.20546,0.10535,0.063295,0.047147,0.039151
1,685.31,576.45,369.29,237.62,174.07,820.58,629.09,398.49,233.1,164.06,906.43,650.67,429.53,243.18,185.21,944.53,647.09,424.37,310.79,291.45,676.39,495.73,289.05,232.73,203.84,669.63,474.35,310.19,191.82,148.09,760.19,505.26,287.85,212.49,183.88,1179,726.72,485.29,426.09,443.33,670.11,599.95,290.14,207.52,176.49,452.33,421.08,238.99,149.4,102.35,971.88,746.92,365.12,228.3,211.3,711.52,728.59,340.13,237.14,200.18,706.77,814.09,317.85,182.73,145.85,776.52,745.97,322.55,204.03,168.71,827.83,687.48,310.44,185.41,138.46,493.29,512.51,248.19,144.67,102.28,912.96,650.47,396.35,226.73,178.14,971.41,643.9,341.19,230.68,226.37,856.67,609.27,365.58,186.1,117.55,952.24,682.27,406.01,219.78,162.62,759.48,590.31,393.77,237.25,172.87,703.37,532.14,308.72,187.97,136.35,800.33,553.54,334.09,186.21,127.69,489.78,344.2,278.46,187.17,103.78,699.29,480.75,290.9,183.64,147.88,969.91,660.11,389.87,310.51,293.92,463.24,459.33,269.84,180.43,122.26,440.92,390.98,227.89,161.91,98.407,1192.1,734.25,403.66,265.92,255.14,575.98,544.66,332.03,258.21,223.79,1038,773.03,361.79,222.15,188.2,890.72,740.08,320.94,192.11,143.96,2172.6,1009.6,592.2,511.64,641.88,1501.9,694.72,392.43,335.92,374.16,605.41,368.95,301.41,319.7,337.8,2356.8,1428.8,927.4,493.7,323.55,9676.6,4909.1,2904.1,2191.3,3063.7,39875,25246,17327,14298,12087,1.52E+05,16554,7133.9,5210.5,4107.8,0.25096,0.12619,0.075732,0.057717,0.046552
1,750.42,575.94,378.36,210.6,165.45,916.93,623.91,415.58,217.65,140.16,1028,675.35,449.88,234.6,151.18,1052.9,701.36,419.03,273.47,245.76,802.12,535.31,298.92,221.62,176,765.45,500.81,321.94,179.91,127.22,874.92,565.79,288.49,201.12,155.58,1341.6,810.17,508.53,423.65,411.62,699.73,589.99,298.21,197.49,159.38,474.16,433.66,248.41,149.24,97.588,1223.9,781.21,371.86,218.23,173.19,734.03,681.13,368.71,250.8,214.47,773.14,770.26,337.22,198.69,139.92,860.3,704.97,347.78,223.41,176.25,846.55,701.97,324.4,198.9,147.75,527.83,530.4,258.29,141.54,100.79,1097.1,693.9,404.2,225.44,165.39,1103.8,629.85,366.23,218.51,184.57,884.03,634.88,398.69,186.85,113.37,1090.5,748.22,434.67,216.68,150.71,819.82,620.48,412.91,251.7,176.07,736.18,551.22,331.32,192.49,131.17,827.05,602.36,384.93,185.76,120.09,488.82,379.79,299.42,184.14,94.769,786.7,561.49,305.81,179.44,127.31,1112.4,740.24,409.35,334.56,275.68,449.93,521.03,271.85,175.28,128.66,463.03,421.95,240.63,147.03,93.74,1425.9,874.74,394.38,247.57,200.6,564.42,592.55,302.37,229.03,197.86,1148.4,876.21,365.59,210.64,161.74,894.32,812.25,339.02,201.95,151.83,2131.4,931.72,509.45,469.02,516.02,1962.4,802.34,350.92,270.39,254.56,431.25,288.81,216.66,206.71,199.64,2003.2,1436.3,915.52,431.31,227.36,23986,11944,7046.1,5392,6416.3,1.41E+05,85712,56724,47564,39168,92225,21840,12407,9356.3,7443,0.18766,0.095513,0.057541,0.044446,0.036788
-1,694.95,580.7,384.63,222.21,171.9,819.4,617.99,430.87,223.9,153.47,862.5,626.92,447.05,226.96,153.28,875.84,604.97,364.64,210.3,168.07,652.16,471.47,265.64,165.89,130.02,625.95,470.2,322.11,169.35,113.01,699.48,544.49,282.77,173.72,136.77,1023.5,675.62,515.42,364.09,369.34,576.29,631.34,295.74,168.13,139.19,420.36,466.26,247.75,150.8,95.144,981.68,809.66,368.3,196.35,157.24,665.18,786.32,342.36,209.38,174.43,652.47,901.26,333.59,171.14,129.77,713.67,760.83,331.77,189.41,152.2,739.36,707.97,330.07,200.5,159.35,496.87,561.63,260.77,140.75,97.607,986.46,655.14,407.69,220.03,168.64,906.7,609.81,349.47,200.9,171.61,826.5,625.07,394.14,184.48,114.18,983.68,690.01,410.31,213.82,146.31,739.54,611.74,403.01,221.89,159.96,622.11,539.93,324.03,182.85,124.05,798.03,596.02,357.11,184.69,117.62,493.89,390.95,278.56,187.05,99.216,659.2,525.55,302.39,179.49,120.04,912.89,637.32,390.79,252.04,237.09,472.25,531.43,279.11,173.02,113.07,426.51,422.68,245.83,152.68,91.195,1148.2,742.31,402.6,229.01,184.64,512.86,582.72,288.97,199.69,156.82,964.57,805.6,370.29,208.18,163.66,794.27,776.98,356.63,222.85,188.64,2061.4,930.2,461.42,344.15,307.65,1561.7,596.54,341.53,234.6,238.91,553.87,331.94,233.53,188.87,159.98,2098.5,1366.4,890.43,510.75,326.53,31876,16045,9431.6,7033.3,6164.9,49527,32681,22464,18968,16320,1.41E+05,50609,29631,22251,17677,0.14535,0.073101,0.045172,0.035234,0.029696
-1,641.67,614.05,394.09,215.95,157.26,735.51,638.68,421.23,211.98,135.93,803,674.31,453.47,237.35,156.4,770.08,669.44,379.02,217.69,170.87,556.7,516.84,306.84,245.21,184.12,596.77,500.34,335.39,185.59,134.19,565.79,525.12,298.9,213.85,163.16,857.3,724.35,541.95,471.01,489.04,575.83,644.17,330.07,237.75,207.32,437.82,503.95,249.72,153.41,96.946,769.33,807.56,364.32,228.11,189.92,785.7,835.54,418.36,314.09,313.91,694.26,961.94,331.04,186.56,146.64,721.15,804.24,352.79,225.05,190.34,736.5,744.51,326.66,207.98,164.17,478.54,609.38,262.08,147.05,92.427,803.54,647.16,398.2,226.32,168.98,774.8,619.93,352.16,228.19,189.92,886.48,668.4,401.38,186.44,116.73,949.33,771.88,417.21,236.95,158.77,666.34,621.83,420.38,249.46,201.5,572.53,577.25,340.17,202.48,144.75,801.37,658.36,372.11,184.51,121.7,502.52,407.34,294.54,186.84,96.956,575.29,579.3,317.35,187.42,137.18,776.7,667.86,442.59,374.37,303.04,468.17,547.66,316.45,204.61,168.83,470.66,463.12,261.78,156.02,90.388,831.53,717.3,398.63,250.2,214.39,580.23,690.67,415.56,327.45,325.42,796.59,818.58,363.27,218.84,171.68,753.7,801.43,344.14,210.46,164.64,1274.7,735.16,475.63,488.15,498.13,916.03,451.12,313.23,282.25,276.32,650.87,359,256.93,221.72,223.27,2019.6,1406.2,893.27,467.51,254.74,62146,31322,18473,13849,11973,1.31E+05,71157,47342,44727,35475,84112,8633,3872.6,2899,2301,0.071449,0.040883,0.027612,0.024534,0.021583
1,629.79,549.88,346.79,217.93,163.36,727.23,582.7,378.77,209.74,129.2,797.43,607.99,407.79,223.71,139.01,804.12,636.21,369.82,263.9,232.29,587.21,460.1,267.8,162.11,124.13,569.88,451.24,321.73,169.95,108.45,642.05,498.68,271.31,171.51,123.66,895.13,683.01,416.48,294.08,274.23,625.87,592.73,282.16,174.93,133.84,435.66,417.44,237.86,154.82,90.546,814.82,725.56,340.51,195.87,144.68,763.52,760.88,363.35,220.27,190.94,689.34,780.93,328.45,182.78,135.28,741.82,708.78,335.52,202.52,161.51,737.14,658.46,316.93,182.8,133.94,449.84,507.77,259.02,141.07,92.426,802.67,614.94,379.82,210.96,146.34,767.61,562.08,333.87,194.34,153.83,822.55,594.1,383.59,187.74,115.22,878.12,645.85,393.03,209.28,132.86,693.78,589.82,407.82,233.65,166.27,608.45,509.75,328.66,207.42,161.71,787.36,560.44,357.31,185.77,117.24,1055.8,558.6,365.31,248.64,107.27,599.54,549.5,298.22,190.67,125.04,813.13,601.58,344.25,220.13,166.03,482.36,498.5,281.17,173.97,123.58,459.4,414.59,244.69,150.53,90.266,905.52,705.43,363.66,233.94,167.7,571.89,566.7,335.41,266,246.33,838.64,761.33,336.74,198.59,138.31,765.81,736.42,319.9,186.85,139.29,1409,716.73,394.99,290.66,254.78,1164.8,574.52,307.23,228.35,213.29,1114.4,603.7,365.08,288.54,234.79,2035.7,1385.9,908.69,464.73,242.19,2.46E+05,1.24E+05,73169,54901,43757,52478,30895,20168,16238,13564,1.80E+05,68674,40421,30315,24140,0.248,0.12567,0.074746,0.056592,0.046326
1,772.3,625.65,372.12,221.91,166.69,891.38,671.4,417.02,219.62,155.31,931.91,698.39,454.17,229.89,155.88,931.82,722.97,375.56,227.99,172.67,720.92,571.14,303.99,210.93,168.39,664.31,505.33,327.08,173.77,116.9,690.65,555.71,291.73,194.64,145.37,1078.6,796.43,477.18,394.37,367.12,640.27,672.42,313.69,213.08,172.13,455.14,476.02,244.31,153.65,96.906,1053.1,796.06,353.04,197.31,157.18,864.76,839.31,401.13,283.39,263.26,763.88,853.9,325.02,190.55,138.89,837.06,792.59,333.04,204.46,163.17,836.26,739.06,320.51,199.86,162.26,527.77,580.12,251.35,147.97,96.034,1108.1,735.82,389.27,213.65,152.02,955.44,663.98,345.03,198.91,165.51,1062.8,708.4,394.7,185.58,115.74,1191.7,797.09,411.03,215.4,140.77,788.05,677.78,411.52,219.41,164.08,623.75,598.98,347.09,184.2,132.28,959.8,662.11,370.29,190.25,117.5,506.36,400.22,290.87,193.34,93.152,638.12,586.33,302.13,192.65,118.86,960.95,712.6,394.26,245.49,225.1,522.77,570.98,292.72,186.56,140.22,448.58,470.89,240.06,164.38,91.712,1167.5,762.7,371.47,229.5,174.63,718.85,653.43,380.04,304.37,291.81,1041.7,801.78,344.2,206.96,156.16,898.65,777.54,338.19,219.53,180.94,1649.8,912.39,485.55,403.03,363.54,1478.2,633.16,327.65,231.03,214.01,683.84,385.04,262.36,226.41,200.94,2272.5,1413.4,941.61,483.37,267,27592,13944,8155.7,6065.7,5316.6,83422,50013,34041,27307,23964,1.21E+05,35918,20719,15539,12390,0.50262,0.25337,0.14948,0.11254,0.089819
1,739.67,665.47,472.61,368.01,331.49,848.12,768.43,580.12,426.48,425.38,951.26,908.08,647.71,603.77,536.57,958.73,818.86,564.3,579.86,514.86,801.77,741.45,556.53,590.12,626.45,672.11,571.57,424.64,346.63,311.53,655.01,609.92,413.46,427.18,385,987.52,751.14,583.32,491.71,518.04,680.74,629.05,370.67,321.92,314.17,417.5,471.69,253.15,171.29,132.65,841.29,796.29,402.45,267.83,238.37,871.22,845.18,498.25,444.01,393.32,749.37,901.83,362.62,234.38,193.61,848.07,811.44,397.24,300.62,269.2,890.3,762.56,379.7,272.43,246.36,513.08,599.62,265.42,158.53,118.7,906.85,677.29,419.44,253.98,214.05,847.21,629.72,398.92,267.74,246.11,1037.8,690.09,423.55,225.9,170.75,1018,712.02,460.41,272.22,228.65,820.76,705.92,490.8,379.21,360.6,681.15,662.84,508.63,514.79,423.74,946.96,600.04,393.04,218.49,171.48,606.38,382.34,293.34,201.9,125.24,595.38,541.1,346.65,272.12,234.72,907.27,741.62,509.54,478.94,423.63,502.05,569.79,347.97,296.08,267.17,453.74,470.74,245.99,167.68,118.3,980.77,763.58,451.65,291.19,279.76,693.86,715.97,492.95,465.93,471.75,957.53,821.14,413.43,263.64,238.57,944.07,821.42,404.89,291.48,260.7,1596.9,822.02,480.88,380.56,372.65,1427.9,692.2,486.22,372.7,383.42,969.16,697.21,397.05,323.52,282.49,2110.7,1408.6,957.52,483.37,270.5,4.44E+05,2.24E+05,1.32E+05,99061,80332,1.05E+05,66204,46822,36317,29457,1.34E+05,58247,34189,25660,20413,0.96618,0.48825,0.28897,0.21649,0.17234
